XGPigGlueMode_Move                 entry@0x701a5c  [CODE:0x701964 | 0x14 | CODE:0x4e4a90 | CODE:0x701a58 | CODE:0x70194c | 0x14]
XGPigGlueMode_TurnToAim            entry@0x701a6c  [CODE:0x70194c | 0x14 | CODE:0x4e4b10 | CODE:0x6fbdd0 | CODE:0x70192c | 0x38]
XGPigGrappleMode                   entry@0x701ebc  [CODE:0x701e78 | 0x10 | CODE:0x4e56c0 | CODE:0x701eb8 | CODE:0x701e5c | 0x10]
XGPigGrappleMode_Drop              entry@0x701f1c  [CODE:0x701de0 | 0x10 | CODE:0x4e59c0 | CODE:0x701eb8 | CODE:0x701dc8 | 0x10]
XGPigGrappleMode_Fire              entry@0x701edc  [CODE:0x701e44 | 0x10 | CODE:0x4e57c0 | CODE:0x701eb8 | CODE:0x701e2c | 0x18]
XGPigGrappleMode_Fly               entry@0x701eec  [CODE:0x701e2c | 0x18 | CODE:0x4e5840 | CODE:0x701eb8 | CODE:0x701e10 | 0x10]
XGPigGrappleMode_Inactive          entry@0x701ecc  [CODE:0x701e5c | 0x10 | CODE:0x4e5740 | CODE:0x701eb8 | CODE:0x701e44 | 0x10]
XGPigGrappleMode_Land              entry@0x701f0c  [CODE:0x701df8 | 0x10 | CODE:0x4e5940 | CODE:0x701eb8 | CODE:0x701de0 | 0x10]
XGPigGrappleMode_OutOf             entry@0x701f2c  [CODE:0x701dc8 | 0x10 | CODE:0x4e5a40 | 0x3e645a1d | 0x0 | CODE:0x8c5550]
XGPigGrappleMode_Suspended         entry@0x701efc  [CODE:0x701e10 | 0x10 | CODE:0x4e58c0 | CODE:0x701eb8 | CODE:0x701df8 | 0x10]
XGPigHazardMode_Active             entry@0x7022a8  [CODE:0x702260 | 0x2c | CODE:0x4e8220 | CODE:0x6fd630 | CODE:0x702248 | 0x2c]
XGPigHazardMode_Anim               entry@0x7022b8  [CODE:0x702248 | 0x2c | CODE:0x4e8090 | CODE:0x8c5860 | CODE:0x4e7da0 | CODE:0x4c1f20]
XGPigHitMode_Active                entry@0x702438  [CODE:0x7023f8 | 0x14 | CODE:0x4e8830 | CODE:0x6fd88c | CODE:0x7023e4 | 0x14]
XGPigHitMode_Air                   entry@0x702448  [CODE:0x7023e4 | 0x14 | CODE:0x4e8470 | CODE:0x6fd86c | CODE:0x7023d0 | 0x10]
XGPigHitMode_Fall                  entry@0x702458  [CODE:0x7023d0 | 0x10 | CODE:0x4e8360 | CODE:0x6fd86c | CODE:0x7023bc | 0x10]
XGPigHitMode_Ground                entry@0x702478  [CODE:0x7023a8 | 0x18 | CODE:0x4e88b0 | 0x0 | CODE:0x8c597c | CODE:0x4e82a0]
XGPigHitMode_Land                  entry@0x702468  [CODE:0x7023bc | 0x10 | CODE:0x4e83e0 | CODE:0x6fd89c | CODE:0x7023a8 | 0x18]
XGPigIdleMode                      entry@0x7026ec  [CODE:0x7026b0 | 0x10 | CODE:0x4e9190 | CODE:0x7026e8 | CODE:0x702698 | 0x10]
XGPigIdleMode_ExtIdle              entry@0x70271c  [CODE:0x70266c | 0x14 | CODE:0x4e9310 | CODE:0x8c5b9c | CODE:0x4e8be0 | CODE:0x4e8060]
XGPigIdleMode_Idle                 entry@0x70270c  [CODE:0x702684 | 0x14 | CODE:0x4e9290 | CODE:0x7026e8 | CODE:0x70266c | 0x14]
XGPigIdleMode_Inactive             entry@0x7026fc  [CODE:0x702698 | 0x10 | CODE:0x4e9210 | CODE:0x7026e8 | CODE:0x702684 | 0x14]
XGPigJetPackMode                   entry@0x7029b4  [CODE:0x702970 | 0x10 | CODE:0x4e9a10 | CODE:0x7029b0 | CODE:0x702954 | 0x10]
XGPigJetPackMode_Active            entry@0x7029e4  [CODE:0x702920 | 0x10 | CODE:0x4e9b90 | CODE:0x7029e0 | CODE:0x702908 | 0x14]
XGPigJetPackMode_Blast             entry@0x702a14  [CODE:0x7028d0 | 0x14 | CODE:0x4e9d10 | CODE:0x8c5dd8 | CODE:0x4e95d0 | CODE:0x4e8060]
XGPigJetPackMode_Charging          entry@0x7029d4  [CODE:0x702938 | 0x10 | CODE:0x4e9b10 | CODE:0x7029b0 | CODE:0x702920 | 0x10]
XGPigJetPackMode_Hover             entry@0x7029f4  [CODE:0x702908 | 0x14 | CODE:0x4e9c10 | CODE:0x7029f0 | CODE:0x7028e8 | 0x14]
XGPigJetPackMode_HoverAttack       entry@0x702a04  [CODE:0x7028e8 | 0x14 | CODE:0x4e9c90 | CODE:0x7029e0 | CODE:0x7028d0 | 0x14]
XGPigJetPackMode_Inactive          entry@0x7029c4  [CODE:0x702954 | 0x10 | CODE:0x4e9a90 | CODE:0x7029b0 | CODE:0x702938 | 0x10]
XGPigJumpMode                      entry@0x702d88  [CODE:0x702d4c | 0x10 | CODE:0x4ec9f0 | CODE:0x6fbde0 | CODE:0x702d34 | 0x14]
XGPigJumpMode_ClimbJump            entry@0x702db8  [CODE:0x702d08 | 0x10 | CODE:0x4ecb70 | CODE:0x702da4 | CODE:0x702cec | 0x10]
XGPigJumpMode_DoubleJump           entry@0x702dc8  [CODE:0x702cec | 0x10 | CODE:0x4ecbf0 | CODE:0x702da4 | CODE:0x702cd8 | 0x10]
XGPigJumpMode_Fire                 entry@0x702dd8  [CODE:0x702cd8 | 0x10 | CODE:0x4ecc70 | 0x0 | CODE:0x8c60a4 | CODE:0x4ec760]
XGPigJumpMode_Inactive             entry@0x702d98  [CODE:0x702d34 | 0x14 | CODE:0x4eca70 | CODE:0x702d84 | CODE:0x702d20 | 0x10]
XGPigJumpMode_Jump                 entry@0x702da8  [CODE:0x702d20 | 0x10 | CODE:0x4ecaf0 | CODE:0x702d84 | CODE:0x702d08 | 0x10]
XGPigLeanMode                      entry@0x702fa4  [CODE:0x702f68 | 0x10 | CODE:0x4edba0 | CODE:0x702fa0 | CODE:0x702f50 | 0x10]
XGPigLeanMode_AcquireResource      entry@0x702fc4  [CODE:0x702f30 | 0x10 | CODE:0x4edca0 | CODE:0x702fa0 | CODE:0x702f1c | 0x14]
XGPigLeanMode_Inactive             entry@0x702fb4  [CODE:0x702f50 | 0x10 | CODE:0x4edc20 | CODE:0x702fa0 | CODE:0x702f30 | 0x10]
XGPigLeanMode_Lean                 entry@0x702fd4  [CODE:0x702f1c | 0x14 | CODE:0x4edd20 | CODE:0x8c6204 | CODE:0x4ed990 | CODE:0x4e8060]
XGPigLedgeMode                     entry@0x703320  [CODE:0x7032e0 | 0x10 | CODE:0x4ef3e0 | CODE:0x70331c | CODE:0x7032c8 | 0x10]
XGPigLedgeMode_Active              entry@0x703340  [CODE:0x7032b0 | 0x10 | CODE:0x4ef4e0 | CODE:0x70333c | CODE:0x70329c | 0x10]
XGPigLedgeMode_Idle                entry@0x703350  [CODE:0x70329c | 0x10 | CODE:0x4ef560 | CODE:0x70334c | CODE:0x703288 | 0x10]
XGPigLedgeMode_Inactive            entry@0x703330  [CODE:0x7032c8 | 0x10 | CODE:0x4ef460 | CODE:0x70331c | CODE:0x7032b0 | 0x10]
XGPigLedgeMode_Into                entry@0x703360  [CODE:0x703288 | 0x10 | CODE:0x4ef5e0 | CODE:0x70333c | CODE:0x703270 | 0x10]
XGPigLedgeMode_Jump                entry@0x703400  [CODE:0x70316c | 0x14 | CODE:0x4efae0 | 0x0 | CODE:0x8c63b4 | CODE:0x4ee3f0]
XGPigLedgeMode_Strafe              entry@0x703370  [CODE:0x703270 | 0x10 | CODE:0x4ef660 | CODE:0x70336c | CODE:0x703254 | 0x10]
XGPigLedgeMode_StrafeEnd           entry@0x7033a0  [CODE:0x70321c | 0x10 | CODE:0x4ef7e0 | CODE:0x70339c | CODE:0x7031fc | 0x10]
XGPigLedgeMode_StrafeLeft          entry@0x703380  [CODE:0x703254 | 0x10 | CODE:0x4ef6e0 | CODE:0x70336c | CODE:0x703238 | 0x10]
XGPigLedgeMode_StrafeLeftEnd       entry@0x7033b0  [CODE:0x7031fc | 0x10 | CODE:0x4ef860 | CODE:0x70339c | CODE:0x7031dc | 0x10]
XGPigLedgeMode_StrafeLeftShort     entry@0x7033e0  [CODE:0x7031a0 | 0x10 | CODE:0x4ef9e0 | CODE:0x7033cc | CODE:0x703180 | 0x10]
XGPigLedgeMode_StrafeRight         entry@0x703390  [CODE:0x703238 | 0x10 | CODE:0x4ef760 | CODE:0x70333c | CODE:0x70321c | 0x10]
XGPigLedgeMode_StrafeRightEnd      entry@0x7033c0  [CODE:0x7031dc | 0x10 | CODE:0x4ef8e0 | CODE:0x70336c | CODE:0x7031c0 | 0x10]
XGPigLedgeMode_StrafeRightShort    entry@0x7033f0  [CODE:0x703180 | 0x10 | CODE:0x4efa60 | CODE:0x70333c | CODE:0x70316c | 0x14]
